Summary,Priority,Assignee,Custom field (Story Points),,,,,,,,,,,,,,,,,,,,
Save passwords using Chrome In-built password saver,Medium,CB.EN.U4CSE17001,2,,,,,,,,,,,,,,,,,,,,
Reset password,Medium,CB.EN.U4CSE17029,2,,,,,,,,,,,,,,,,,,,,
Username format,Medium,CB.EN.U4CSE17064,1,,,,,,,,,,,,,,,,,,,,
Password format,Medium,CB.EN.U4CSE17064,1,,,,,,,,,,,,,,,,,,,,
Registration,Medium,CB.EN.U4CSE17064,2,,,,,,,,,,,,,,,,,,,,
CREATE A CONTEST,Medium,CB.EN.U4CSE17021,2,,,,,,,,,,,,,,,,,,,,
TRACK PERFORMANCE,Medium,CB.EN.U4CSE17051,2,,,,,,,,,,,,,,,,,,,,
LOG IN AND SIGN UP,High,CB.EN.U4CSE17029,2,,,,,,,,,,,,,,,,,,,,
VIEW RESULTS,Medium,CB.EN.U4CSE17029,2,,,,,,,,,,,,,,,,,,,,
"As a master, I wan't to set the number of questions based on the difficulty of the quiz.",Medium,CB.EN.U4CSE17001,2,,,,,,,,,,,,,,,,,,,,
Change profile settings,Medium,CB.EN.U4CSE17051,2,,,,,,,,,,,,,,,,,,,,
Integrate Facebook Login API to the login page.,Low,CB.EN.U4CSE17001,2,,,,,,,,,,,,,,,,,,,,
Integrate Google Login API to the login page.,Low,CB.EN.U4CSE17001,2,,,,,,,,,,,,,,,,,,,,
OPTIONS FOR TAKING A QUIZ,Low,CB.EN.U4CSE17001,2,,,,,,,,,,,,,,,,,,,,
